position_title,category,seniority,rate_min,rate_median,rate_max,currency,rate_type,source,region
IT Director / CIO,Zarządzanie IT,director,30000,50000,80000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
IT Project Manager,Zarządzanie IT,manager,17000,22000,27000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
Business / System Analyst,Zarządzanie IT,specialist,15000,17000,20000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
Software Development Director/Manager,Programowanie,director,28000,40000,50000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
Java Developer,Programowanie,senior,16000,20000,25000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
.NET / C# Developer,Programowanie,senior,15000,19000,24000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
C / C++ Developer,Programowanie,senior,14000,18000,23000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
Front-End Developer,Programowanie,senior,13000,17000,22000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
PHP Developer,Programowanie,senior,12000,16000,20000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
Mobile Developer,Programowanie,senior,16000,20000,25000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
RPA Developer,Programowanie,senior,11000,15000,19000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
Automation Tester,Testowanie,senior,14000,18000,21000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
Manual Tester,Testowanie,senior,9000,11000,14000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
Network Administrator,Infrastruktura i Cloud,specialist,14000,16000,19000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
Unix / Linux Admin,Infrastruktura i Cloud,specialist,15000,17000,20000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
Microsoft Windows Server Admin,Infrastruktura i Cloud,specialist,15000,17000,20000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
Infrastructure Manager,Infrastruktura i Cloud,manager,20000,25000,30000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
"Database Administrator (Oracle, MS SQL)",Infrastruktura i Cloud,specialist,14000,18000,20000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
3rd Line Support,Infrastruktura i Cloud,specialist,13000,16000,18000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
2nd Line Support,Infrastruktura i Cloud,junior,9000,12000,14000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
Service Desk Manager,Infrastruktura i Cloud,manager,15000,21000,25000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
DevOps Engineer,Infrastruktura i Cloud,senior,18000,23000,25000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
Cloud Engineer,Infrastruktura i Cloud,senior,20000,24000,26000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
Security Manager,Bezpieczeństwo IT,manager,32000,40000,48000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
Security Consultant,Bezpieczeństwo IT,senior,21000,25000,29000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
Infrastructure Security Specialist,Bezpieczeństwo IT,specialist,18000,20000,23000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
Applications Security Specialist,Bezpieczeństwo IT,specialist,18000,20000,23000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
Cybersecurity Architect,Bezpieczeństwo IT,expert,32000,38000,45000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
Cybersecurity Engineer,Bezpieczeństwo IT,senior,25000,29000,34000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
Cybersecurity SOC Manager,Bezpieczeństwo IT,manager,30000,34000,38000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
Cybersecurity SOC Analyst Tier 3,Bezpieczeństwo IT,senior,20000,25000,29000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
Cybersecurity SOC Analyst Tier 2,Bezpieczeństwo IT,specialist,15000,18000,20000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
ERP Consultant,ERP i CRM,senior,19000,26000,30000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
ERP Business Analyst / Support,ERP i CRM,specialist,14000,17000,20000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
ABAP Developer,ERP i CRM,senior,19000,24000,29000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
Salesforce Developer,ERP i CRM,senior,18000,22000,25000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
Salesforce Consultant,ERP i CRM,senior,17000,20000,25000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
SAP Basis Administrator,ERP i CRM,senior,18000,22000,26000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
SAP SD Consultant,ERP i CRM,senior,22000,27000,30000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
SAP FI Consultant,ERP i CRM,senior,22000,26000,30000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
SAP PP Consultant,ERP i CRM,senior,25000,30000,34000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
SAP eWM Consultant,ERP i CRM,expert,27000,32000,36000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
SAP Ariba,ERP i CRM,senior,22000,26000,29000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
SAP QM Consultant,ERP i CRM,senior,26000,29000,34000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
SAP PI/PO Consultant,ERP i CRM,expert,28000,33000,38000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
Big Data Developer,Dane i AI,senior,17000,21000,25000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
Machine Learning Engineer,Dane i AI,senior,19000,23000,26000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
Data Scientist,Dane i AI,senior,20000,24000,27000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
Data Engineer,Dane i AI,senior,16000,19000,21000,PLN,monthly_gross_uop,Hays Poland Raport płacowy 2026,Polska
dyrektor IT (D1),Infrastruktura i Cloud,director,32817,38328,40990,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
kierownik działu IT (K2),Infrastruktura i Cloud,manager,26850,28140,33042,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
kierownik działu IT (K1),Infrastruktura i Cloud,manager,16153,20368,23249,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
administrator systemu (SE),Infrastruktura i Cloud,senior,16238,20635,25590,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
administrator systemu (SS),Infrastruktura i Cloud,mid,15000,17032,18063,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
administrator systemu (SD),Infrastruktura i Cloud,junior,10838,12795,15053,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
kierownik ds. analizy danych (K1),Dane i AI,manager,20471,24084,27697,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
analityk danych (SS),Dane i AI,mid,15099,17763,20427,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
inżynier Big Data (SE),Dane i AI,senior,26342,27095,27848,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
inżynier Big Data (SS),Dane i AI,mid,19290,22000,23839,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
inżynier Big Data (SD),Dane i AI,junior,14074,16558,19042,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
inżynier systemów Business Intelligence (SE),Dane i AI,senior,22579,25319,25700,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
inżynier systemów Business Intelligence (SS),Dane i AI,mid,16709,18816,21827,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
inżynier systemów Business Intelligence (SD),Dane i AI,junior,12992,14867,17085,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
inżynier systemów Business Intelligence (SM),Dane i AI,junior,9398,11056,12714,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
specjalista ds. AI (SS),Dane i AI,mid,21827,23986,24084,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
specjalista ds. AI (SD),Dane i AI,junior,18816,19778,22400,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista baz danych (SS),Dane i AI,mid,15053,19655,24084,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
programista baz danych (SD),Dane i AI,junior,13115,15429,17743,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
kierownik projektu IT (K2),Zarządzanie IT,manager,21224,23269,26831,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
kierownik projektu IT (K1),Zarządzanie IT,manager,16558,18514,21475,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
koordynator projektu IT (KZ),Zarządzanie IT,lead,11139,14372,21000,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
specjalista ds. zarządzania projektami IT (SE),Zarządzanie IT,senior,21187,22730,26000,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
specjalista ds. zarządzania projektami IT (SS),Zarządzanie IT,mid,17000,20132,23113,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
specjalista ds. zarządzania projektami IT (SD),Zarządzanie IT,junior,14349,16881,19413,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
Product Owner (SSE),Zarządzanie IT,expert,25813,30368,34923,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
Product Owner (SE),Zarządzanie IT,senior,19677,23332,25322,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
Product Owner (SS),Zarządzanie IT,mid,17680,20640,23750,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
Product Owner (SD),Zarządzanie IT,junior,11300,14959,17841,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
Scrum Master/Agile coach (SE),Zarządzanie IT,senior,24837,25590,27095,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
Scrum Master/Agile coach (SS),Zarządzanie IT,mid,19343,20321,22579,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
Scrum Master/Agile coach (SD),Zarządzanie IT,junior,10880,14917,21450,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
architekt systemowy (SSE),Programowanie,expert,28853,34621,43009,PLN,monthly_b2b_netto,Sedlak & Sedlak Raport IT jesień/zima 2025,Polska
